Anos;Total;Alimentação, bebidas e tabaco;Vestuário e calçado;Habitação, água, eletricidade, gás e outros combustíveis;Mobiliário, artigos de decoração, equipamento doméstico e manutenção corrente da habitação;Saúde;Transportes e comunicações;Lazer, recreação e cultura;Educação;Restaurantes e hóteis;Bens e serviços diversos
2012;10 939,12 €;2 257,81 €;617,00 €;2 019,35 €;574,96 €;536,12 €;1 639,04 €;665,35 €;192,38 €;1 202,96 €;1 234,08 €
2013;10 972,00 €;2 310,35 €;641,81 €;2 070,65 €;561,31 €;546,88 €;1 582,85 €;638,92 €;183,23 €;1 201,42 €;1 234,54 €
2014;11 173,85 €;2 290,73 €;699,08 €;2 131,42 €;565,85 €;533,00 €;1 652,92 €;639,54 €;180,62 €;1 267,77 €;1 212,92 €
2015;11 524,27 €;2 332,23 €;746,19 €;2 161,19 €;571,12 €;577,35 €;1 700,50 €;676,65 €;177,19 €;1 347,46 €;1 234,38 €
2016;12 013,54 €;2 418,73 €;766,27 €;2 201,19 €;574,04 €;635,92 €;1 830,46 €;665,31 €;183,77 €;1 468,19 €;1 269,69 €
2017;12 564,69 €;2 491,27 €;778,31 €;2 220,69 €;602,58 €;656,31 €;1 961,65 €;707,96 €;192,00 €;1 626,19 €;1 327,73 €
2018;13 032,46 €;2 545,92 €;781,31 €;2 272,73 €;630,15 €;677,81 €;2 033,62 €;734,65 €;206,42 €;1 765,69 €;1 384,15 €
2019;13 593,58 €;2 599,08 €;789,27 €;2 358,27 €;652,38 €;732,35 €;2 161,12 €;776,73 €;211,81 €;1 896,15 €;1 416,46 €
2020;12 258,54 €;2 721,62 €;686,65 €;2 486,04 €;679,65 €;665,50 €;1 709,04 €;626,65 €;193,31 €;1 169,08 €;1 321,04 €
2021;14 645,68 €;;;;;;;;;;
2022;15 910,40 €;;;;;;;;;;
2023;;;;;;;;;;;
